lower_bound,upper_bound,correction
"	50.9133",50.8592,"	157.3001"
"	51.4122",50.9134,"	88.6713"
"	53.3776",51.4123,"	546.3385"
"	54.3989",53.3777,"	98.5334"
"	54.8722",54.399,"	104.1106"
"	55.9284",54.8723,"	75.2240"
"	56.0845",55.9285,"	92.5664"
"	56.4544",56.0846,"	124.9604"
"	56.9204",56.4545,"	70.4133"
"	57.3369",56.9205,"	395.3184"
"	57.6398",57.337,"	66.5515"
"	59.1434",57.6399,"	236.4705"
"	59.3571",59.1435,"	51.6246"
"	60.0324",59.3572,"	144.8679"
"	60.3951",60.0325,"	126.8397"
"	63.3176",60.3952,"	207.9715"
"	63.4861",63.3177,"	68.5408"
"	63.7095",63.4862,"	60.1016"
"	66.2263",63.7096,"	64.5871"
"	67.9309",66.2264,"	75.1780"
"	68.1179",67.931,"	36.5279"
"	69.0939",68.118,"	53.4145"
"	70.8729",69.094,"	46.7416"
"	71.4123",70.873,"	30.2297"
"	71.9921",71.4124,"	27.7917"
"	72.7795",71.9922,"	77.2477"
"	73.2208",72.7796,"	48.8648"
"	74.0733",73.2209,"	28.2513"
"	74.6536",74.0734,"	192.0154"
"	74.7191",74.6537,"	67.2932"
"	75.6012",74.7192,"	110.3141"
"	75.942",75.6013,"	10.6108"
"	76.3833",75.9421,"	40.0830"
"	76.5267",76.3834,"	226.6834"
"	76.7989",76.5268,"	514.5922"
"	76.8733",76.799,"	111.8743"
"	77.5981",76.8734,"	31.4465"
"	77.7373",77.5982,"	119.9715"
"	78.1667",77.7374,"	65.0319"
"	78.6974",78.1668,"	74.0845"
"	78.8441",78.6975,"	62.3457"
"	79.1113",78.8442,"	40.3087"
"	79.2471",79.1114,"	21.1400"
"	79.3292",79.2472,"	114.2969"
"	79.9968",79.3293,"	123.7590"
"	80.1336",79.9969,"	18.5520"
"	81.0335",80.1337,"	29.5761"
"	81.3646",81.0336,"	25.3617"
"	81.3852",81.3647,"	86.7661"
"	81.954",81.3853,"	95.2315"
"	82.9265",81.9541,"	29.0299"
"	83.328",82.9266,"	426.8335"
"	85.6122",83.3281,"	132.4434"
"	85.6237",85.6123,"	41.3160"
"	86.9193",85.6238,"	34.6076"
"	91.1328",86.9194,"	155.6708"
"	92.6306",91.1329,"	45.7402"
"	97.4797",92.6307,"	82.6022"
"	104.6998",97.4798,"	-4.4888"
"	151.4076",104.6999,"	238.8205"
"	160.9657",151.4077,"	95.0727"
"	262.3708",160.9658,"	-59.5129"
"	499.9999",262.3709,"	-42.7137"
